"text";"url";"categories"
"Tomás Maldonado - Wikipedia"; "http://web.archive.org/web/20230321110835/https://fr.abcdef.wiki/wiki/Tom%C3%A1s_Maldonado"; ""
"Txti - Fast web pages for everybody"; "http://web.archive.org/web/20230321110835/http://txti.es/"; ""
"What Are the Greenest Programming Languages?"; "http://web.archive.org/web/20230321110835/https://medium.com/codex/what-are-the-greenest-programming-languages-e738774b1957"; ""
"Explorer les écosystème numériques possibles dans un monde soutenable."; "http://web.archive.org/web/20230321110835/https://gauthierroussilhe.com/"; ""
"L’open source, contributeur d’un numérique plus soutenable"; "http://web.archive.org/web/20230321110835/https://richardhanna.dev/blog/2021/open-source-et-numerique-soutenable.html"; ""
"Communs et capitalisme numérique : histoire d’un antagonisme et de quelques affinités électives"; "http://web.archive.org/web/20230321110835/https://journals.openedition.org/terminal/7595"; ""
"L’anti-recette des biens communs"; "http://web.archive.org/web/20230321110835/https://www.cairn.info/revue-vacarme-2013-2-page-1.htm"; ""
"L’Entraide, un facteur de l’évolution"; "http://web.archive.org/web/20230321110835/https://fr.wikipedia.org/w/index.php?title=L%27Entraide,_un_facteur_de_l%27%C3%A9volution&oldid=189102547"; ""
"design↔commun"; "http://web.archive.org/web/20230321110835/https://designcommun.fr/"; ""
"Conférence sur les Communs de la Connaissance de Lionel MAUREL"; "http://web.archive.org/web/20230321110835/https://www.youtube.com/watch?v=8XwtrRfJ4Dk"; ""
"Face au tout-numérique, se réapproprier les technologies"; "http://web.archive.org/web/20230321110835/https://www.ritimo.org/Low-tech-face-au-tout-numerique-se-reapproprier-les-technologies-8264"; ""
"Gouvernance Partagée, Faire ensemble autrement"; "http://web.archive.org/web/20230321110835/https://universite-du-nous.org/"; ""
"Juristes Embarqués, démarche de créativité réglementaire autour des lieux créateurs de communs."; "http://web.archive.org/web/20230321110835/https://www.la27eregion.fr/9261-2/"; ""
"Attention et abondance informationnelle dans les nouveaux modes de travail"; "http://web.archive.org/web/20230321110835/https://issuu.com/laroque.mellie/docs/publication__issuu"; ""
"Behavior Design Lab"; "http://web.archive.org/web/20230321110835/https://behaviordesign.stanford.edu/"; ""
"Captologie, attention & design persuasif"; "http://web.archive.org/web/20230321110835/https://attention.designersethiques.org/"; ""
"DarkPattern.games"; "http://web.archive.org/web/20230321110835/https://www.darkpattern.games/"; ""
"Dopamine"; "http://web.archive.org/web/20230321110835/https://www.arte.tv/fr/videos/RC-017841/dopamine/"; ""
"How better tech could protect us from distraction"; "http://web.archive.org/web/20230321110835/https://www.ted.com/talks/tristan_harris_how_better_tech_could_protect_us_from_distraction"; ""
"La Guerre de l’attention"; "http://web.archive.org/web/20230321110835/https://www.lechappee.org/collections/pour-en-finir-avec/la-guerre-de-attention"; ""
"Le grand jeu des biais"; "http://web.archive.org/web/20230321110835/https://www.youtube.com/watch?v=PeowY-vucWk"; ""
"Le design par les extrêmes users ou comment le handicap inspire l’innovation - Simon Houriez - Ethics by design"; "http://web.archive.org/web/20230321110835/https://peertube.designersethiques.org/videos/watch/b4e43cdc-b051-4f5c-a612-20d32438ed6c"; ""
